ags,name,verwaltungsform,bev_30_06,schulden_gesamt_eur,kredite_eur,kassenkredite_eur
01051901,Welmbüttel,50,393,156000,-,-
01051901,Westerborstel,50,114,155888,-,-
01051901,Wiemerstedt,50,149,424122,424122,-
01051901,Wrohm,50,736,1411521,-,-
01053000,"Mölln, Stadt",41,19641,6044099,433750,-
01053000,"Ratzeburg, Stadt",41,14835,2436761,2130709,-
01053010,"Herzogtum Lauenburg, Kreisverwaltung",32,204878,5097950,-,-
01053100,Duvensee,50,555,-,-,-
01053100,Grinau,50,290,-,-,-
01053100,Groß Boden,50,231,-,-,-
01053100,Groß Schenkenberg,50,579,-,-,-
01053100,Klinkrade,50,598,-,-,-
01053100,Koberg,50,789,846409,846409,-
01053100,Kühsen,50,348,-,-,-
01053100,Labenz,50,893,517057,517057,-
01053100,Lankau,50,460,-,-,-
01053100,Linau,50,1214,-,-,-
01053100,Lüchow,50,292,-,-,-
01053100,Nusse,50,1162,581923,156923,-
01053100,Panten,50,670,-,-,-
01053100,Poggensee,50,386,65000,65000,-
01053100,"Sandesneben-Nusse, Amtsverwaltung",55,15780,8550281,4078371,1562240
01053101,Ritzerau,50,300,-,-,-
01053101,Sandesneben,50,1894,2448450,2448450,-
01053101,Schiphorst,50,679,194444,194444,-
01053101,Schönberg,50,1435,1055704,393104,-
01053101,Schürensöhlen,50,159,-,-,-
01053101,Siebenbäumen,50,607,299661,-,-
01053101,Sirksfelde,50,349,365000,167500,-
01053101,Steinhorst,50,567,9700,-,-
01053101,Stubben,50,390,-,-,-
01053101,Walksfelde,50,219,470500,470500,-
01053101,Wentorf (Amt Sandesneben),50,714,257848,138800,-
01053200,"Geesthacht, Stadt",41,32859,6215424,5926466,-
01053300,Alt-Mölln,50,851,128500,128500,-
01053300,Aumühle,50,3248,972530,-,-
01053300,Basedow,50,618,-,-,-
01053300,Basthorst,50,433,489764,-,-
01053300,Borstorf,50,318,-,-,-
01053300,Breitenfelde,50,2115,153300,153300,-
01053300,"Breitenfelde, Amtsverwaltung",55,6926,5906130,2695786,3210344
01053300,Brunstorf,50,794,1947253,-,-
01053300,Buchhorst,50,145,-,-,-
01053300,Bälau,50,220,-,-,-
01053300,Börnsen,50,4724,6340881,6229708,-
01053300,Dahmker,50,166,241376,241376,-
01053300,Dalldorf,50,351,20400,-,-
01053300,Dassendorf,50,3422,215407,178985,-
01053300,Elmenhorst,50,895,-,-,-
01053300,Escheburg,50,3821,269621,-,-
01053300,Fuhlenhagen,50,382,370863,370863,-
01053300,Grabau,50,367,2211372,1453642,757730
01053300,Grambek,50,545,-,-,-
01053300,Grove,50,268,115060,115060,-
01053300,Groß Pampau,50,187,139065,-,-
01053300,Gülzow,50,1345,1701288,-,-
01053300,Hamfelde,50,550,-,-,-
01053300,Hamwarde,50,879,3005004,-,-
01053300,Havekost,50,202,-,-,-
01053300,"Hohe Elbgeest, Amtsverwaltung",55,20985,6576985,-,-
01053300,Hohenhorn,50,537,-,-,-
01053300,Hornbek,50,217,-,-,-
01053300,Juliusburg,50,189,12500,12500,-
01053300,Kankelau,50,232,482468,482468,-
01053300,Kasseburg,50,577,584729,584729,-
01053300,Kollow,50,626,587966,587966,-
01053300,Krukow,50,161,-,-,-
01053300,Kröppelshagen-Fahrendorf,50,1375,204550,204550,-
01053300,Krüzen,50,375,115400,115400,-
01053300,Kuddewörde,50,1715,2652446,-,-
01053300,Köthel,50,302,2771938,2771938,-
01053300,Lanze,50,262,-,-,-
01053300,"Lauenburg/Elbe, Stadt",41,11553,24376678,19492090,4622331
01053300,Lehmrade,50,587,1770500,-,-
01053300,Lütau,50,672,-,-,-
01053300,"Lütau, Amtsverwaltung",55,3873,-,-,-
01053300,Möhnsen,50,538,577428,577428,-
01053300,Mühlenrade,50,213,423495,-,-
01053300,Niendorf/Stecknitz,50,674,-,-,-
01053300,"Schwarzenbek-Land, Amtsverwaltung",55,10264,5180210,-,-
01053301,Sahms,50,472,584460,-,-
01053301,Schnakenbek,50,897,-,-,-
01053301,Schretstaken,50,511,-,-,-
01053301,Talkau,50,542,1061375,1061375,-
01053301,Wangelau,50,203,-,-,-
01053301,Wiershop,50,214,1075988,1075988,-
01053301,Wohltorf,50,2599,3266230,-,-
01053301,Woltersdorf,50,346,32250,32250,-
01053301,Worth,50,166,42813,-,-
01053600,"Schwarzenbek, Stadt",41,16988,10596990,9334497,-
01053800,Albsfelde,50,72,-,-,-
01053800,Behlendorf,50,403,-,-,-
01053800,Berkenthin,50,2210,4024405,4024405,-
01053800,"Berkenthin, Amtsverwaltung",55,8463,2246495,2057382,189113
01053800,Besenthal,50,95,-,-,-
01053800,Bliestorf,50,625,430,-,-
01053800,Brunsmark,50,152,82000,-,-
01053800,Bröthen,50,319,345450,-,-
01053800,Buchholz,50,240,515849,515849,-
01053800,Bäk,50,920,374167,374167,-
01053800,Büchen,50,6485,38710498,38710498,-
01053800,"Büchen, Amtsverwaltung",55,15098,4976101,4976101,-
01053800,Düchelsdorf,50,152,-,-,-
01053800,Einhaus,50,451,215514,-,-
01053800,Fitzen,50,377,272500,-,-
01053800,Fredeburg,50,46,-,-,-
01053800,Giesensdorf,50,186,72526,72526,-
01053800,Groß Disnack,50,80,-,-,-
01053800,Groß Grönau,50,3759,2124387,799800,-
01053800,Groß Sarau,50,1101,2802726,2260767,541959
01053800,Gudow,50,1807,1754376,1232629,521747
01053800,Göldenitz,50,238,60447,-,60447
01053800,Göttin,50,64,-,-,-
01053800,Güster,50,1296,1041127,1041127,-
01053800,Harmsdorf,50,310,197471,-,-
01053800,Hollenbek,50,470,836250,-,-
01053800,Horst,50,275,98750,98750,-
01053800,Kastorf,50,1177,1562342,-,-
01053800,Kittlitz,50,294,-,-,-
01053800,Klein Pampau,50,671,338510,-,-
01053800,Klein Zecher,50,238,-,-,-
01053800,Klempau,50,600,538372,333585,-
01053800,Krummesse,50,1625,862539,-,-
01053800,Kulpin,50,212,168416,-,-
01053800,Langenlehsten,50,186,165976,-,-
01053800,"Lauenburgische Seen, Amtsverwaltung",55,14146,9740918,6445018,-
01053800,Mechow,50,131,-,-,-
01053800,Mustin,50,714,60000,-,-
01053800,Müssen,50,1240,913100,913100,-
01053800,Niendorf bei Berkenthin,50,185,17992,-,-
01053800,Pogeez,50,515,1086534,-,-
01053801,Rondeshagen,50,798,-,-,-
01053801,Roseburg,50,551,-,-,-
01053801,Römnitz,50,65,-,-,-
01053801,Salem,50,670,204990,204990,-
01053801,Schmilau,50,560,1383371,-,-
01053801,Schulendorf,50,454,98800,98800,-
01053801,Seedorf,50,584,110830,-,-
01053801,Siebeneichen,50,305,268215,268215,-
01053801,Sierksrade,50,450,-,-,-
01053801,Sterley,50,929,52825,-,-
01053801,Tramm,50,330,-,-,-
01053801,Witzeeze,50,918,-,-,-
01053801,Ziethen,50,1172,-,-,-
01053900,Wentorf bei Hamburg,41,13467,8640489,8640489,-
01054010,"Nordfriesland, Kreisverwaltung",32,170704,8540496,1040100,-
01054200,Arlewatt,50,342,300000,-,-
01054200,Drage,50,666,716432,-,-
01054200,Elisabeth-Sophien-Koog,50,63,-,-,-
01054200,Fresendelf,50,86,190656,-,-
01054200,Hattstedt,50,2614,10901218,-,-
01054200,Hattstedtermarsch,50,300,726248,726248,-
01054200,Horstedt,50,820,-,-,-
01054200,Hude,50,172,232402,232402,-
01054200,Koldenbüttel,50,940,1604417,-,-
01054200,Mildstedt,50,3903,8244224,39942,265806
01054200,"Nordsee-Treene, Amtsverwaltung",55,25159,3801163,3367700,433463
01054200,Nordstrand,50,2289,5208674,-,-
01054200,Oldersbek,50,769,2030585,-,-
01054200,Olderup,50,466,216496,216496,-
01054200,Ostenfeld (Husum),50,1549,2774763,-,-
01054201,Ramstedt,50,438,901447,-,-
01054201,Rantrum,50,1989,11497407,-,-
01054201,Schwabstedt,50,1351,4923429,-,-
01054201,Seeth,50,1957,844852,-,-
